,year,district,age_group,NO2,PM2_5,O3,SO2,asthma_hosp
0,2009,101,0-4y,23.2,11.03,23.67,6.62,30
1,2009,101,5-17y,23.2,11.03,23.67,6.62,31
16,2009,102,0-4y,22.39,10.68,26.82,5.38,155
17,2009,102,5-17y,22.39,10.68,26.82,5.38,127
32,2009,103,0-4y,24.82,11.1,24.47,9.48,349
33,2009,103,5-17y,24.82,11.1,24.47,9.48,344
48,2009,104,0-4y,22.83,10.59,26.72,5.15,329
49,2009,104,5-17y,22.83,10.59,26.72,5.15,259
64,2009,105,0-4y,28.07,11.76,23.08,9.36,372
65,2009,105,5-17y,28.07,11.76,23.08,9.36,259
80,2009,106,0-4y,29.35,11.8,22.64,8.99,389
81,2009,106,5-17y,29.35,11.8,22.64,8.99,268
96,2009,107,0-4y,26.39,11.45,25.23,5.22,270
97,2009,107,5-17y,26.39,11.45,25.23,5.22,234
112,2009,201,0-4y,26.95,11.93,25.56,4.25,57
113,2009,201,5-17y,26.95,11.93,25.56,4.25,31
128,2009,202,0-4y,28.4,11.5,23.08,4.14,108
129,2009,202,5-17y,28.4,11.5,23.08,4.14,68
144,2009,203,0-4y,26.93,10.75,24.33,4.62,357
145,2009,203,5-17y,26.93,10.75,24.33,4.62,288
160,2009,204,0-4y,23.9,10.6,26.28,3.89,204
161,2009,204,5-17y,23.9,10.6,26.28,3.89,172
176,2009,205,0-4y,25.26,11.04,24.63,3.79,34
177,2009,205,5-17y,25.26,11.04,24.63,3.79,28
192,2009,206,0-4y,24.79,10.27,25.54,4.28,53
193,2009,206,5-17y,24.79,10.27,25.54,4.28,44
208,2009,207,0-4y,25.14,10.47,25.47,4.6,275
209,2009,207,5-17y,25.14,10.47,25.47,4.6,171
224,2009,208,0-4y,20.22,9.85,28.97,3.22,96
225,2009,208,5-17y,20.22,9.85,28.97,3.22,99
240,2009,209,0-4y,22.54,9.91,26.86,3.37,17
241,2009,209,5-17y,22.54,9.91,26.86,3.37,17
256,2009,210,0-4y,19.9,9.55,29.64,3.21,55
257,2009,210,5-17y,19.9,9.55,29.64,3.21,46
272,2009,211,0-4y,27.13,11.36,24.76,4.78,262
273,2009,211,5-17y,27.13,11.36,24.76,4.78,241
288,2009,301,0-4y,28.5,11.55,21.82,11.12,85
289,2009,301,5-17y,28.5,11.55,21.82,11.12,83
304,2009,302,0-4y,31.06,11.6,21.52,8.21,127
305,2009,302,5-17y,31.06,11.6,21.52,8.21,171
320,2009,303,0-4y,29.9,11.55,22.84,7.04,128
321,2009,303,5-17y,29.9,11.55,22.84,7.04,126
336,2009,304,0-4y,31.95,12.18,21.31,10.87,49
337,2009,304,5-17y,31.95,12.18,21.31,10.87,38
352,2009,305,0-4y,34.29,12.88,20.87,12.12,32
353,2009,305,5-17y,34.29,12.88,20.87,12.12,17
368,2009,306,0-4y,39.87,14.24,18.19,8.37,14
369,2009,306,5-17y,39.87,14.24,18.19,8.37,13
384,2009,307,0-4y,43.32,15.03,16.13,9.8,17
385,2009,307,5-17y,43.32,15.03,16.13,9.8,0
400,2009,308,0-4y,34.75,12.75,20.56,7.35,8
401,2009,308,5-17y,34.75,12.75,20.56,7.35,0
416,2009,309,0-4y,32.71,12.08,21.16,7.91,44
417,2009,309,5-17y,32.71,12.08,21.16,7.91,36
432,2009,310,0-4y,36.69,13.06,18.88,4.57,10
433,2009,310,5-17y,36.69,13.06,18.88,4.57,0
448,2009,401,0-4y,26.29,11.4,26.08,5.11,37
449,2009,401,5-17y,26.29,11.4,26.08,5.11,42
464,2009,402,0-4y,25.81,10.99,25.7,5.38,125
465,2009,402,5-17y,25.81,10.99,25.7,5.38,100
480,2009,403,0-4y,22.68,10.16,26.29,4.49,41
481,2009,403,5-17y,22.68,10.16,26.29,4.49,43
496,2009,404,0-4y,20.05,9.72,26.29,3.69,19
497,2009,404,5-17y,20.05,9.72,26.29,3.69,15
512,2009,405,0-4y,24.06,10.44,25.58,4.5,92
513,2009,405,5-17y,24.06,10.44,25.58,4.5,65
528,2009,406,0-4y,22.78,10.0,25.43,4.02,31
529,2009,406,5-17y,22.78,10.0,25.43,4.02,19
544,2009,407,0-4y,22.93,9.96,26.48,3.72,178
545,2009,407,5-17y,22.93,9.96,26.48,3.72,91
560,2009,408,0-4y,22.29,9.95,26.14,3.53,249
561,2009,408,5-17y,22.29,9.95,26.14,3.53,182
576,2009,409,0-4y,19.89,9.35,27.59,3.18,121
577,2009,409,5-17y,19.89,9.35,27.59,3.18,103
592,2009,410,0-4y,14.68,8.75,33.59,2.39,89
593,2009,410,5-17y,14.68,8.75,33.59,2.39,96
608,2009,501,0-4y,21.35,10.22,24.42,2.49,41
609,2009,501,5-17y,21.35,10.22,24.42,2.49,39
624,2009,502,0-4y,18.41,9.63,26.48,2.53,43
625,2009,502,5-17y,18.41,9.63,26.48,2.53,35
640,2009,503,0-4y,17.49,10.1,26.04,2.17,17
641,2009,503,5-17y,17.49,10.1,26.04,2.17,18
656,2009,504,0-4y,14.71,9.63,27.77,1.84,22
657,2009,504,5-17y,14.71,9.63,27.77,1.84,25
2,2010,101,0-4y,20.13,10.09,31.91,4.16,39
3,2010,101,5-17y,20.13,10.09,31.91,4.16,35
18,2010,102,0-4y,20.21,9.65,33.96,3.37,152
19,2010,102,5-17y,20.21,9.65,33.96,3.37,133
34,2010,103,0-4y,22.06,10.26,32.53,6.03,285
35,2010,103,5-17y,22.06,10.26,32.53,6.03,278
50,2010,104,0-4y,21.04,9.68,34.31,3.34,262
51,2010,104,5-17y,21.04,9.68,34.31,3.34,229
66,2010,105,0-4y,25.25,10.99,31.63,6.1,318
67,2010,105,5-17y,25.25,10.99,31.63,6.1,234
82,2010,106,0-4y,26.38,11.0,31.25,5.99,310
83,2010,106,5-17y,26.38,11.0,31.25,5.99,195
98,2010,107,0-4y,24.1,10.48,33.34,3.54,244
99,2010,107,5-17y,24.1,10.48,33.34,3.54,191
114,2010,201,0-4y,25.08,10.57,32.54,2.93,31
115,2010,201,5-17y,25.08,10.57,32.54,2.93,17
130,2010,202,0-4y,26.46,10.49,30.94,2.65,87
131,2010,202,5-17y,26.46,10.49,30.94,2.65,48
146,2010,203,0-4y,25.17,9.93,32.27,3.19,305
147,2010,203,5-17y,25.17,9.93,32.27,3.19,254
162,2010,204,0-4y,22.49,9.79,33.97,2.86,167
163,2010,204,5-17y,22.49,9.79,33.97,2.86,181
178,2010,205,0-4y,23.77,10.21,32.71,2.32,37
179,2010,205,5-17y,23.77,10.21,32.71,2.32,19
194,2010,206,0-4y,23.43,9.61,33.38,2.77,41
195,2010,206,5-17y,23.43,9.61,33.38,2.77,23
210,2010,207,0-4y,23.64,9.8,33.33,3.12,225
211,2010,207,5-17y,23.64,9.8,33.33,3.12,136
226,2010,208,0-4y,19.1,9.12,36.12,2.33,90
227,2010,208,5-17y,19.1,9.12,36.12,2.33,70
242,2010,209,0-4y,21.48,9.18,34.5,2.1,20
243,2010,209,5-17y,21.48,9.18,34.5,2.1,0
258,2010,210,0-4y,19.01,8.89,36.52,2.21,47
259,2010,210,5-17y,19.01,8.89,36.52,2.21,43
274,2010,211,0-4y,25.31,10.33,32.38,3.33,187
275,2010,211,5-17y,25.31,10.33,32.38,3.33,215
290,2010,301,0-4y,25.22,10.71,30.54,7.28,97
291,2010,301,5-17y,25.22,10.71,30.54,7.28,79
306,2010,302,0-4y,27.83,10.62,29.75,5.59,128
307,2010,302,5-17y,27.83,10.62,29.75,5.59,118
322,2010,303,0-4y,27.07,10.41,30.52,4.89,120
323,2010,303,5-17y,27.07,10.41,30.52,4.89,120
338,2010,304,0-4y,28.66,11.01,28.68,7.48,47
339,2010,304,5-17y,28.66,11.01,28.68,7.48,30
354,2010,305,0-4y,31.02,11.83,28.21,8.5,28
355,2010,305,5-17y,31.02,11.83,28.21,8.5,20
370,2010,306,0-4y,36.03,13.21,25.62,5.65,19
371,2010,306,5-17y,36.03,13.21,25.62,5.65,13
386,2010,307,0-4y,39.17,14.24,23.9,6.73,20
387,2010,307,5-17y,39.17,14.24,23.9,6.73,0
402,2010,308,0-4y,31.8,11.56,27.87,4.78,0
403,2010,308,5-17y,31.8,11.56,27.87,4.78,0
418,2010,309,0-4y,29.99,10.87,28.38,5.25,41
419,2010,309,5-17y,29.99,10.87,28.38,5.25,18
434,2010,310,0-4y,33.48,12.19,26.89,2.89,8
435,2010,310,5-17y,33.48,12.19,26.89,2.89,0
450,2010,401,0-4y,24.32,10.05,33.01,3.63,38
451,2010,401,5-17y,24.32,10.05,33.01,3.63,48
466,2010,402,0-4y,24.18,9.89,33.17,3.84,110
467,2010,402,5-17y,24.18,9.89,33.17,3.84,87
482,2010,403,0-4y,21.48,9.34,33.99,3.01,47
483,2010,403,5-17y,21.48,9.34,33.99,3.01,42
498,2010,404,0-4y,19.23,8.98,33.51,2.41,10
499,2010,404,5-17y,19.23,8.98,33.51,2.41,13
514,2010,405,0-4y,22.61,9.52,33.32,3.25,81
