,year,district,NO2,PM2_5,O3,SO2,asthma_hosp,Boroughs
0,2009,101,23.2,11.03,23.67,6.62,61,Bronx
1,2009,102,22.39,10.68,26.82,5.38,282,Bronx
2,2009,103,24.82,11.1,24.47,9.48,693,Bronx
3,2009,104,22.83,10.59,26.72,5.15,588,Bronx
4,2009,105,28.07,11.76,23.08,9.36,631,Bronx
5,2009,106,29.35,11.8,22.64,8.99,657,Bronx
6,2009,107,26.39,11.45,25.23,5.22,504,Bronx
7,2009,201,26.95,11.93,25.56,4.25,88,Brooklyn
8,2009,202,28.4,11.5,23.08,4.14,176,Brooklyn
9,2009,203,26.93,10.75,24.33,4.62,645,Brooklyn
10,2009,204,23.9,10.6,26.28,3.89,376,Brooklyn
11,2009,205,25.26,11.04,24.63,3.79,62,Brooklyn
12,2009,206,24.79,10.27,25.54,4.28,97,Brooklyn
13,2009,207,25.14,10.47,25.47,4.6,446,Brooklyn
14,2009,208,20.22,9.85,28.97,3.22,195,Brooklyn
15,2009,209,22.54,9.91,26.86,3.37,34,Brooklyn
16,2009,210,19.9,9.55,29.64,3.21,101,Brooklyn
17,2009,211,27.13,11.36,24.76,4.78,503,Brooklyn
18,2009,301,28.5,11.55,21.82,11.12,168,Manhattan
19,2009,302,31.06,11.6,21.52,8.21,298,Manhattan
20,2009,303,29.9,11.55,22.84,7.04,254,Manhattan
21,2009,304,31.95,12.18,21.31,10.87,87,Manhattan
22,2009,305,34.29,12.88,20.87,12.12,49,Manhattan
23,2009,306,39.87,14.24,18.19,8.37,27,Manhattan
24,2009,307,43.32,15.03,16.13,9.8,17,Manhattan
25,2009,308,34.75,12.75,20.56,7.35,8,Manhattan
26,2009,309,32.71,12.08,21.16,7.91,80,Manhattan
27,2009,310,36.69,13.06,18.88,4.57,10,Manhattan
28,2009,401,26.29,11.4,26.08,5.11,79,Queens
29,2009,402,25.81,10.99,25.7,5.38,225,Queens
30,2009,403,22.68,10.16,26.29,4.49,84,Queens
31,2009,404,20.05,9.72,26.29,3.69,34,Queens
32,2009,405,24.06,10.44,25.58,4.5,157,Queens
33,2009,406,22.78,10.0,25.43,4.02,50,Queens
34,2009,407,22.93,9.96,26.48,3.72,269,Queens
35,2009,408,22.29,9.95,26.14,3.53,431,Queens
36,2009,409,19.89,9.35,27.59,3.18,224,Queens
37,2009,410,14.68,8.75,33.59,2.39,185,Queens
