;;2005;;;2006;;;2007;;;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;
;Rank / Location;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years
0;New York City;5027;4656;9683;5164;4525;9689;4665;4194;8859;4819;3922;8741;5041;4189;9230;4302;3563;7865;4073;3652;7725;4120;3947;8670;3869;3869;7738;3922;4106;8028;3514;3547;7061;3380;3373;6753
1;Bronx;1791;1594;3385;1766;1542;3308;1691;1476;3167;1832;1455;3287;1897;1552;3449;1610;1311;2921;1549;1446;2995;1601;1588;3189;1574;1592;3166;1569;1691;3260;1407;1489;2896;1317;1340;2657
2;Brooklyn;1481;1414;2895;158;1424;3004;1309;1200;2509;1325;1137;2462;1519;1231;2750;1239;132;2271;1235;1100;2335;1202;1193;2395;1107;1126;2233;1147;1155;2302;1023;994;2017;977;990;1967
3;Manhattan;597;698;1295;654;605;1259;526;598;1124;525;512;1370;514;508;1022;513;418;931;472;431;903;477;462;939;446;455;901;460;482;942;400;421;821;416;440;856
4;Queens;1026;831;1857;1048;823;1871;1033;814;1847;1030;730;1760;988;779;1767;847;690;1537;731;578;1309;737;600;1337;648;591;1239;654;663;1317;602;540;1142;559;506;1650
5;Staten Island;132;119;251;116;131;247;106;106;212;107;88;195;123;119;242;93;112;205;86;97;183;103;104;207;94;105;199;92;115;207;82;103;185;111;97;208
6;Bayside - Little Neck(404);10;16;26;18;17;35;20;14;34;25;10;35;19;15;34;10;13;23;7;0;7;18;13;31;12;0;12;8;13;21;8;11;19;7;0;7
7;Bedford Stuyvesant - Crown Heights(203);379;298;677;383;386;769;279;291;570;300;287;587;357;288;645;305;254;559;309;273;582;291;300;591;295;286;581;296;311;607;254;252;506;229;244;473
8;Bensonhurst - Bay Ridge(209);20;11;31;20;12;32;38;14;52;17;15;32;17;17;34;20;0;20;25;17;42;24;20;44;15;15;30;17;0;17;13;14;27;13;17;30
9;Borough Park(206);42;36;78;50;39;89;46;34;80;45;31;76;53;44;97;41;23;64;59;44;103;49;41;90;41;29;70;37;36;73;53;22;75;41;31;72
10;Canarsie - Flatlands(208);106;78;184;89;80;169;64;57;121;81;57;138;96;99;195;90;70;160;100;76;176;98;93;191;106;85;191;89;70;159;94;85;179;91;81;172
11;Central Harlem - Morningside Heights(302);173;210;383;176;173;349;135;175;310;162;140;302;127;171;298;128;118;246;143;116;259;147;152;299;131;145;276;112;121;233;123;111;234;138;146;284
12;Chelsea - Clinton(306);22;18;40;42;0;42;23;22;45;24;14;38;14;13;27;19;13;32;15;10;25;15;15;30;11;10;21;12;20;32;10;11;21;11;0;11
13;Coney Island - Sheepshead Bay(210);39;56;95;49;40;89;60;58;118;59;41;100;55;46;101;47;43;90;31;36;67;39;46;85;36;38;74;44;38;82;25;33;58;45;39;84
14;Crotona - Tremont(105);400;260;660;328;258;586;357;231;588;389;260;649;372;259;631;318;234;552;297;232;529;261;263;524;277;282;559;271;296;567;242;221;463;216;211;427
15;Downtown - Heights - Slope(202);71;58;129;89;63;152;77;53;130;83;55;138;108;68;176;87;48;135;99;77;176;99;72;171;68;62;130;66;55;121;57;57;114;57;55;112
16;East Flatbush - Flatbush(207);227;231;458;246;230;476;225;176;401;210;147;357;275;171;446;225;136;361;210;151;361;220;167;387;213;196;409;231;229;460;205;208;413;178;186;364
17;East Harlem(303);128;187;315;131;158;289;116;169;285;113;151;264;128;126;254;120;120;240;95;117;212;97;106;203;104;118;222;129;110;239;87;110;197;64;87;151
18;East New York(204);232;205;437;262;188;450;211;174;385;189;186;375;204;172;376;167;181;348;154;159;313;173;156;329;166;180;346;178;188;366;193;156;349;176;185;361
19;Flushing - Clearview(403);73;46;437;68;66;134;57;46;103;44;45;89;41;43;84;47;42;89;46;37;83;43;25;68;42;40;82;46;29;75;37;33;70;40;39;79
20;Fordham - Bronx Park(103);314;260;574;326;241;567;324;272;596;315;300;615;349;344;693;285;278;563;262;266;528;275;284;559;291;298;589;303;345;648;260;288;548;248;297;545
21;Fresh Meadows(406);32;20;52;28;24;52;34;23;57;31;14;45;31;19;50;28;18;46;25;23;48;15;22;37;28;21;49;20;14;34;28;29;57;28;23;51
22;Gramercy Park - Murray Hill(307);14;0;14;23;11;34;18;10;28;12;11;23;17;0;17;20;0;20;9;0;9;13;0;13;16;0;16;14;0;14;5;0;5;8;0;8
23;Greenpoint(201);43;37;80;59;38;97;25;39;64;35;18;53;57;31;88;31;17;48;26;17;43;15;19;34;14;12;26;25;21;46;16;11;27;15;11;26
24;Greenwich Village - Soho(308);0;0;0;0;0;0;0;0;0;10;0;10;8;0;8;0;0;0;0;0;0;7;0;7;6;0;6;4;0;4;1;0;1;4;0;4
25;High Bridge - Morrisania(106);432;281;713;396;261;657;346;230;576;371;240;611;389;268;657;310;195;505;281;252;533;296;275;571;343;284;627;323;301;624;290;284;574;287;278;565
26;Hunts Point - Mott Haven(107);198;228;426;223;216;439;211;223;434;239;204;443;270;234;504;244;191;435;238;219;457;244;257;501;213;240;453;240;238;478;218;213;431;196;165;361
27;Jamaica(408);217;144;361;208;134;342;254;123;377;259;145;404;249;182;431;208;135;343;157;110;267;153;104;257;166;122;288;153;123;276;143;118;261;118;121;239
28;Kingsbridge - Riverdale(101);32;23;55;28;27;55;34;26;60;41;30;71;30;31;61;39;35;74;33;32;65;40;27;67;26;46;72;25;46;71;31;29;60;25;28;53
29;Long Island City - Astoria(401);64;64;128;61;50;111;57;60;117;47;49;96;37;42;79;38;48;86;36;44;80;34;36;70;25;41;66;17;50;67;22;25;47;32;23;55
30;Lower Manhattan(310);8;0;8;7;0;7;14;0;14;17;0;17;10;0;10;8;0;8;9;0;9;0;0;0;4;0;4;2;0;2;4;0;4;7;0;7
31;Northeast Bronx(102);131;145;276;155;134;289;159;132;291;184;145;329;155;127;282;152;133;285;152;151;303;163;157;320;147;172;319;138;186;324;108;160;268;126;139;265
32;Pelham - Throgs Neck(104);283;240;523;306;254;560;258;222;480;292;243;535;329;259;588;262;229;491;286;266;552;321;288;609;277;238;515;269;252;521;258;265;523;219;222;441
33;Port Richmond(501);41;35;76;46;35;81;41;33;74;32;19;51;41;39;80;27;29;56;35;30;65;35;44;79;30;34;64;24;43;67;31;37;68;34;49;83
